Kod_uzemi,Nazev_uzemi,Smesneho_odpadu (t),Pocet_obyvatel,Prumer (t/1os),Kraj
7210,Valašské Meziříčí,9568.383174,41.452,230.83,Zlínský kraj
4215,Varnsdorf,4912.565047,19.553,251.24,Ústecký kraj
6114,Velké Meziříčí,9256.573481,36.203,255.69,Kraj Vysočina
6218,Veselí nad Moravou,8834.898366,36.86,239.69,Jihomoravský kraj
3116,Vimperk,5307.15364,17.223,308.14,Jihočeský kraj
8122,Vítkov,4702.454354,13.169,357.09,Moravskoslezský kraj
7211,Vizovice,3968.855504,16.98,233.74,Zlínský kraj
2125,Vlašim,6990.32738,25.726,271.72,Středočeský kraj
3117,Vodňany,4328.13478,11.732,368.92,Jihočeský kraj
2126,Votice,4376.9578,12.378,353.61,Středočeský kraj
5215,Vrchlabí,8512.670413,27.014,315.12,Královéhradecký kraj
7212,Vsetín,13046.413144,64.439,202.46,Zlínský kraj
6219,Vyškov,12511.723617,51.697,242.02,Jihomoravský kraj
5314,Vysoké Mýto,6785.876399,32.195,210.77,Pardubický kraj
7113,Zábřeh,8039.378111,32.817,244.98,Olomoucký kraj
5315,Žamberk,6973.452447,29.05,240.05,Pardubický kraj
4216,Žatec,7376.107691,27.001,273.18,Ústecký kraj
6115,Žďár nad Sázavou,9869.1112,42.399,232.77,Kraj Vysočina
5110,Železný Brod,2720.054794,12.012,226.44,Liberecký kraj
6221,Židlochovice,7197.667114,33.451,215.17,Jihomoravský kraj
7213,Zlín,24503.033269,97.72,250.75,Zlínský kraj
6220,Znojmo,22180.517525,91.017,243.70,Jihomoravský kraj
